"Control"	"Control.1"	"Control.2"	"Control.3"	"Control.4"	"Control.5"	"Control.6"	"Control.7"	"Control.8"	"Control.9"	"Control.10"	"D0_moderately"	"D0_moderately.1"	"D0_moderately.2"	"D0_moderately.3"	"D0_moderately.4"	"D0_moderately.5"	"D0_moderately.6"	"D0_moderately.7"	"D0_moderately.8"	"D0_moderately.9"	"D0_moderately.10"	"D0_moderately.11"	"D0_moderately.12"	"D0_moderately.13"	"D0_moderately.14"	"D0_moderately.15"	"D0_moderately.16"	"D0_Severe"	"D0_Severe.1"	"D0_Severe.2"	"D0_Severe.3"	"D0_Severe.4"	"D0_Severe.5"	"D0_Severe.6"	"D0_Severe.7"	"D0_Severe.8"	"D0_Severe.9"	"D0_Severe.10"	"D0_Severe.11"	"D30_moderately"	"D30_moderately.1"	"D30_moderately.2"	"D30_moderately.3"	"D30_moderately.4"	"D30_moderately.5"	"D30_moderately.6"	"D30_moderately.7"	"D30_Severe"	"D30_Severe.1"	"D30_Severe.2"	"D30_Severe.3"	"D30_Severe.4"	"D30_Severe.5"	"D30_Severe.6"	"D7_moderately"	"D7_moderately.1"	"D7_moderately.2"	"D7_moderately.3"	"D7_moderately.4"	"D7_moderately.5"	"D7_moderately.6"	"D7_moderately.7"	"D7_Severe"	"D7_Severe.1"	"D7_Severe.2"	"D7_Severe.3"	"D7_Severe.4"	"D7_Severe.5"	"D7_Severe.6"	"D7_Severe.7"	"D7_Severe.8"	"GIS"	"GIS.1"	"GIS.2"	"GIS.3"	"GIS.4"	"GIS.5"	"GIS.6"	"GIS.7"	"GIS.8"	"GIS.9"	"GIS.10"	"GIS.11"	"GIS.12"	"GIS.13"	"GIS.14"
"P35579"	15.0466283723939	15.571029302904	15.181264955845	15.6520113641809	15.6645072604327	15.2637873944862	15.3640207317155	15.0469857127016	16.0821095268028	15.0056704407573	15.9780575234456	16.3673698545057	15.6464595937941	15.9235858418364	15.3571491097249	15.8070035506854	15.2443971929147	15.1775171393864	16.1894489493569	15.5978359801533	16.116751670442	15.4657486234903	15.3720468768002	14.9226787090235	15.2622930052373	15.5939272355662	15.4416990187338	15.6779469075092	14.8467980928801	16.5265349281523	15.5945041128788	15.4604771215664	14.972451992685	16.0914076477018	14.6896578689196	15.2959314674747	16.1573676005139	15.4153202801834	15.2896454089837	15.8503266631006	14.6176625421188	15.3734468643958	14.5219423703931	14.4466929735199	15.6121259112363	14.9168575677093	15.7137138986744	15.1767885534776	15.13786646377	15.0859515463317	16.082220036625	14.9787759095625	15.6858885857396	15.1639826052036	16.1498050787592	15.7781861302322	15.1302352695794	15.2153974329142	15.5334857988193	15.2276894210332	15.8800643636905	15.4277922752527	15.2041069492123	16.1025058016453	15.9258398355619	15.7621318014947	15.4118121476791	15.8406714686536	16.293374809173	16.2539596627007	15.9152528086546	15.3449508499243	15.3774903896831	16.0490067031325	15.6128297444126	15.6861061305945	15.887876848615	16.0232626989075	16.0647932924161	15.6221214830431	15.8663776974446	15.7171778452909	15.8145537793714	15.8913455910984	15.7101710309825	15.8878923337376	15.3879544001877
"Q9Y490"	14.9936036793687	15.6182030146787	15.0845909819933	15.5944702817531	15.1750606202819	15.5538006877813	15.5368939405422	15.4956464975202	15.7857802916319	15.0257718862641	16.05158192238	15.6930905643737	15.778618854876	15.4478425574707	15.038474427108	15.7258273191544	15.3176651911431	15.0391680077826	16.1322965862995	15.0591902739506	16.0368039824566	15.2822505451618	15.3645075596101	14.5124428534487	14.6325263992554	15.4970027608432	14.7475955312587	15.7073372414334	14.8831675234405	16.323634103481	15.1953947994023	15.1109487593938	15.1688497322124	15.8125281111006	14.7499438201187	15.2952944971448	16.0324301007787	15.3867433841524	15.0191951641754	15.5791212571266	14.5400076880357	15.2021108475839	14.592639590738	14.654911021915	14.9488319735722	15.1645979674968	15.4696814638552	15.1200146617868	15.4071558768923	15.1743177691509	15.6761678405038	14.9052786175745	15.3048529821606	14.9626284771638	16.1756491906722	15.857432899585	15.1580289121688	15.4497483076572	15.1846783521955	15.002989061867	15.633394280898	15.675486354774	14.9067307415751	15.6183708473072	15.5597421398807	16.1812624508719	15.1407787129363	15.3698008152104	16.3729435342759	15.9756762929731	15.893171851623	15.1278484435126	15.1739756963568	15.8231406612425	15.6480953518538	15.7429759007247	15.5402062030869	15.7314499629546	15.5915731295529	15.3322772129937	15.4666210579811	15.4506956685416	15.5729089213532	15.9273360800697	15.5664142035625	15.7461848800082	15.4822628834078
"P21333"	14.4955597799936	15.096948760011	14.6893338450729	14.946607646028	14.7932179571056	14.7102224705222	14.7553770798681	14.1362491349546	15.5668280888839	14.5286565538147	15.2748774469048	15.5312473938087	15.2001933209166	15.040807735301	14.4969442824996	15.2103227301515	14.926375051102	14.5443106739772	15.565796628179	14.8587825665022	15.4208033411193	14.9682270589113	14.8322486635263	14.3076827446091	14.350161596995	14.8821571753751	14.3746762259702	15.271408884615	14.3827190252352	15.9550031651353	14.9275258162581	14.7919646074924	14.6992238202344	15.4812399603512	14.7136485918772	14.5982379297707	15.701807385441	14.9000952576324	14.6140083421657	15.0367502043297	14.0042048880148	14.5397186176829	14.2193594467028	14.0186285894251	14.8517096216748	14.412219324825	15.191453486246	14.7623302728752	14.7078724280157	14.6096813811815	15.4941335491277	14.3635743779106	14.9321958952266	14.6951933935494	15.7157907363954	15.1847897293084	14.9938331794877	14.8393694240505	14.9065509967214	14.7801043278683	15.0231311903725	14.9130143516796	14.3794678123926	15.1404589118577	15.1139867629427	15.4055396110413	14.622441208889	15.0933007246253	15.7994815409101	15.4747040686499	15.1547845376295	15.0570127532582	14.7077867248671	15.5449495708828	15.0867783820479	15.1688402958776	15.0722490266458	15.2378644362223	14.9573242765918	14.9534524328604	14.9940731014628	14.984156988052	15.1447763276043	15.4139642269721	14.9895248674025	15.2743890647762	15.0508091238372
"Q15149"	12.5085045462082	12.3543310696415	12.6550589868362	12.3470722369126	12.8545592982677	12.47508873556	12.7309603929925	12.5285752435221	12.6143731904079	12.6939503313064	12.5790801485862	12.6642516046943	12.20779491041	12.5738049804563	12.7990762282166	12.4758770848655	12.8443020694746	12.432919732346	12.6138176004061	12.7615783818148	12.3426638551776	12.4983875102601	12.5573614203628	12.3684911529118	12.1472545539847	12.7203250931385	12.6609677645804	12.4870372256218	12.7758266035791	12.2430522033165	12.4226253234561	12.5898419359475	12.7063162013592	12.4936493975362	12.7904005571325	12.4669735978482	12.6194865323859	12.3705081691308	12.5678576286895	12.68867442909	12.8453461251752	12.4171222653244	12.4207712737025	12.3125174388965	12.7488208153447	12.4494721931793	12.5983026475247	12.7528554568052	12.3814780669755	12.5486838273149	12.7715278214931	12.5869996259615	12.55179740625	12.726078689045	12.113483994837	12.5313239910294	12.5560073235177	12.453610146317	12.5599502610086	12.6209814973633	12.7634287877181	12.5393761219004	12.3557819147907	12.6832880008509	12.4269010962051	12.4553742357979	12.4832659133803	12.7568360547919	12.0698982633714	12.4748566775384	12.3568030236541	12.6096459350817	12.5318738707056	12.4541368278413	12.5214109612502	12.4908484206813	12.5538414924302	12.4849594910842	12.3687066163447	12.6518412436073	12.5945946430792	12.6581691129956	12.5885991791245	12.3882922818957	12.595682167573	12.5783511066527	12.4721184742616
"Q09666"	12.9311008843115	13.2339666994091	13.3229875236849	13.242339848586	13.3185553616244	13.0187178368771	13.1051100714706	13.0724747653202	13.4574777719001	12.8896533504351	12.9348967709082	13.1709876257584	12.8442163126845	12.7855077123325	12.5035762752028	12.9344996756128	12.8819356867526	12.8805238795744	12.5286920586816	13.0302422270606	12.6290655437081	12.5932770853318	12.6071825587312	12.3182069967603	12.4340523648215	12.886178807388	12.8451211415812	12.554619868768	12.4574033464227	12.3180897052684	12.5937243402287	12.8637954705368	12.6751835286402	12.7453613290267	12.8644706403893	12.3772341598044	12.1186296953212	12.7394275453775	12.6317784356046	12.5254028617158	12.9968528841418	12.9955046578517	12.930293374205	13.0385603819027	13.3599907170637	13.1497730533517	13.6850825843926	13.7693394496895	12.9177168609729	13.1269774324517	13.4549577423015	13.1476750773434	13.2449694146301	13.0068918212408	12.4776627314021	12.719745638761	13.0824208110174	12.9430771090879	12.8576344632009	12.8024336753433	13.2032634002662	12.8188764219928	12.68720527618	13.0757667435416	12.9590342334581	12.3887775729052	12.449708254743	13.091647907412	12.2129774848378	12.5682586188506	12.7695673321203	12.9260091031409	13.0173545762292	12.7136587016059	12.9057561080115	12.8912580671605	12.7950533701237	12.6526688388219	12.8429518223386	12.973263217623	12.9842512135518	13.179283015366	12.9823157068297	13.1223451414394	12.9658421892699	12.9958872331757	12.9054877273552
"P18206"	13.594457126365	14.4351339163842	13.6543442410792	13.9997113311064	13.6887450267354	14.1979780027358	14.1921566851066	13.7409580668681	14.5452141063738	13.3182320631495	14.5808749944831	14.6627069842379	14.3844200596884	13.9877468259633	13.7825649654581	14.4754753846868	13.862367798831	13.7285163982091	14.5622531384071	13.8173849942829	14.7386271276054	14.0740051275753	13.7593003698986	13.3756329619011	13.6680439811116	14.1423800292783	13.3739078706837	14.3648273252237	13.4437894702726	14.9819244938058	13.9980967643106	14.0193720663409	13.76751148662	14.4844579375409	13.3651296811938	13.8633092490504	14.6632131095691	14.2601946157337	13.6406444565654	14.0589728688468	13.273108576325	13.7286746435673	13.3771807254187	13.0475931327511	13.7748911137044	13.7263475601965	14.0432219485455	13.7184350859007	14.2060194270721	13.9155817755091	14.1666208897696	13.7478766891732	14.0191825304901	13.9673119852005	14.9416230052095	14.1274226840704	13.695020711323	13.6904175428157	13.8810475956164	13.6826065214505	14.3044695023225	14.1135908956508	13.69007672663	14.2878231940286	14.3598053653188	14.7846819091831	13.7736696033465	14.0244397701319	15.0510768741284	14.7634789780436	14.3067349279198	13.9217605493855	13.7729227762178	14.4250659218972	14.1963452670162	14.4217095831465	14.1990073442866	14.3476242409615	14.4809715679285	14.1892309800338	14.2866369274888	14.1159417800765	14.1372922366422	14.4569798856361	14.1179643542656	14.5175574885684	14.0868190328941
"P08670"	14.1958163155942	13.8912453646801	14.523484425557	14.3716570166358	14.7279082142079	14.5757877834234	14.2569050712579	14.6756704602185	13.6038225335342	14.5234281890246	13.4138004393011	13.9400723496581	13.6877185800765	13.97844488652	14.1120088478447	14.1373023427501	13.650487179226	13.9034867470234	13.4450359269545	14.0764311353664	13.7332554687702	14.1223371660419	13.957221807799	14.675027252295	14.2789478991597	14.1831389044695	14.69899468921	13.7962534859231	13.5150677940659	12.7683270621575	13.6557714158647	13.8486374457921	13.4274352636896	13.7387188880594	13.9019186364388	14.0035471417076	13.1206861755445	13.8004808861195	13.8782332830821	13.0993808664804	14.6918350058589	14.5602096478032	14.2375552235646	14.9475022793905	14.2257239447805	14.4344064011852	14.3983309137793	14.532845088653	14.2825067140105	14.2591077453012	13.6573442902309	14.3165237433364	13.9321287914797	13.6535154290678	13.1097622819067	14.1181385326036	14.0335438298347	13.8955584197724	13.8221113226977	14.2090584559545	14.225799940694	13.6604461437033	14.4791626161444	14.2042976886735	13.9622693631681	13.5650993604928	14.2969581349155	14.1789612718306	12.8451097944507	13.1332143194988	14.2140075086138	14.0441354434546	14.3819338419997	13.7971885227956	14.0953634984561	13.7107544160318	14.2930844198742	13.9237202924878	14.5477362196485	14.4688753805691	14.4925477941823	14.4763076611018	14.2289198686793	13.7754044592663	14.1218121196089	14.0413448958256	14.1070252482867
"P60709"	14.5972996069087	14.6723554781225	14.8776932819702	15.0715424363255	14.5936791370371	14.9457734094441	14.8975698866663	14.9810254882844	14.6101347912152	14.8129389343849	15.1889559607892	14.4573986377407	14.6727943156087	14.4626716371627	14.5121174110723	14.4983373559719	14.9579997326359	14.6195447171145	15.1593575048524	14.3973339557065	14.6851630750741	14.530042219863	14.8719015125051	14.3874799806676	14.5007376408362	14.7187715388181	14.5900865205774	14.6514715820117	15.0518082332134	14.9057288253894	14.4664618713827	14.4987917172614	14.7314756729123	14.6828294300672	14.7065883364297	14.9244919693551	14.7032051995786	14.6016113554559	14.2744543870525	14.707876061458	14.6441514691444	14.3992362064006	14.5745050720791	15.1418072938423	14.3954336506949	14.930643027	14.6744773993149	14.4485098683512	15.0363804948569	14.9698596758906	14.3914549957241	14.7764967229925	14.8358855404606	14.4779415475867	15.1219432108637	15.2263416884774	14.6878989503248	14.9444107204445	14.3869845044047	14.5471469992074	14.5413861735139	14.540151067844	14.5713491356374	14.4317734230715	14.4099061031161	14.9856687307149	15.1499117586318	14.4430593145691	15.1512480227977	14.6453092039908	15.1571065673007	14.5588577113934	14.6488390541399	14.8210851509396	14.8290795789047	14.9269817078325	14.7696147957422	14.7671371226342	14.7736511092749	14.5444852798968	14.5971577918923	14.9282087444952	14.7720419196951	15.0994237307917	14.9275122751336	15.011362140601	14.7754844378165
"P12814"	12.7636271529142	13.602266280245	12.8119813821805	13.2533612366373	12.8505358135469	13.4409127679734	13.416792897981	12.8233397464151	13.5557287382673	12.50162643046	13.8475749441615	13.6172075483648	13.4744686337312	13.1674206640832	13.2200224354811	13.4952868104021	12.8871358431883	12.9182448385366	13.8225744312945	13.1422085960496	13.7773147972184	13.5569848312184	12.8094426603503	13.1405666323379	13.4230194094154	13.2672922897535	12.7242549219258	13.4568967010188	12.7192820125325	14.1649775703484	13.1934569563629	13.3539479705974	12.836563959588	13.6860632100842	12.4814537397677	13.3750800807294	13.9774041960831	13.6868431779331	12.8448174042261	13.3841377209498	12.5098988892512	12.996911596011	12.2940637834352	12.4099138427545	12.9519594236478	13.0335314760275	13.0116874201649	12.6564232020616	13.4651354949238	13.1255231986573	12.9143036551473	12.9936893699226	13.4981550225311	12.9717386443182	14.0116918328881	13.5847188525615	12.7935675777208	13.029170874491	12.8898240566881	12.9858566131481	13.0976144516381	13.0638542295252	13.2101081522227	13.4352331119955	13.444461674059	14.0289152209826	13.4540535798729	13.4179018763793	14.2396646400419	13.7988281795727	13.4030423515807	13.1395343800751	13.040252125539	13.6321121885792	13.3102502696946	13.5712266325069	13.3995101610861	13.5906260972392	13.8465397413505	13.5727814869747	13.3980991986088	13.3634125978665	13.3645689371524	13.3742637408962	13.3093638934923	13.7001980094376	13.1019147083424
"P26038"	14.2557761948546	14.2099126481746	14.503978611507	14.0693361995452	14.4739692453674	14.3165140655363	14.3068088053848	13.1642698767011	13.494826576543	13.2241785155331	13.2631714080582	14.241603998365	13.8631979082769	13.8485384259838	13.7924950452518	13.9685682023502	13.7190664730924	13.7273722720749	13.980097356541	14.0805426541608	14.1621270459071	14.1683629308426	14.0192509223885	14.1829922156057	14.1078882124936	14.1234075586437	13.8990460552538	14.2184044617723	13.1231824584874	13.8396940070217	13.7553407518529	13.8696329160079	13.2883048184538	13.9688664235479	13.6199277569109	13.9702083814721	13.9483109956684	13.8319237958076	13.4799262252836	13.4391338297904	14.1808228219404	14.3424131890815	13.6818079320008	13.3642639780963	14.3758118201428	14.0181502731999	14.584274547664	14.5112578734043	14.2476104062928	13.8708236503266	14.5804575218318	14.1139986872623	14.2164123183752	13.7052099035797	13.9791201030417	13.6878079432835	13.921476431632	13.575024549774	14.0953241061587	14.2280979480883	14.3402078594015	13.9450747494071	14.0393951239583	14.240868858946	13.8846977158243	13.8111162104409	13.6859015438988	14.2832189613138	13.7583561319209	13.7174994809261	14.0942537654942	14.0154960676425	13.8709351826233	14.0349072357045	13.8657270605593	13.7044807198031	14.0989928213972	14.0165851417227	14.1853830777883	14.2073055569165	14.2222293580165	14.1696038904894	14.1015624292929	14.1015704952095	14.0772817061748	14.1501517420834	14.1594980274796
