	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS
P35579	15.0685	15.4112	15.1585	15.7895	15.9084	15.1896	15.4193	15.06	16.276	15.0505	15.979	16.402	15.6733	15.7501	15.3428	15.8481	15.165	15.2424	16.4716	15.6374	16.0694	15.4226	15.4223	14.897	15.3018	15.6183	15.5676	15.7602	14.7387	16.8002	15.3087	15.1971	14.7252	16.2547	14.5242	15.2488	16.345	15.6264	15.2106	15.8207	14.6395	15.2125	14.6946	14.5843	15.4255	14.9858	15.7068	15.2471	15.005	15.044	15.699	14.7685	15.7333	15.2454	16.1549	15.808	15.0474	15.415	15.5598	15.2036	16.0404	15.4532	15.3474	15.9377	15.9712	15.5107	15.219	15.7751	16.3939	16.321	16.0302	15.2379	15.3994	15.8795	15.6145	15.4262	15.8861	16.07	15.9111	15.7174	16.0978	15.6541	15.8492	15.8002	15.7859	15.9074	15.5584
Q9Y490	15.1961	15.527	15.0689	15.8369	15.4437	15.596	15.5448	15.2837	15.7301	14.8693	16.0785	15.8411	15.9208	15.3721	15.028	15.6612	15.4286	15.2103	16.5899	15.1155	15.9678	15.106	15.294	14.4026	14.4342	15.4221	14.6416	15.7073	14.9473	16.4305	14.7694	14.6947	15.145	16.0269	14.7384	15.2561	16.348	15.6984	14.9369	15.6347	14.741	15.2444	14.8422	14.7149	14.7593	15.1022	15.4445	15.0966	15.3444	15.1752	15.1886	14.8034	15.2625	15.1189	16.3911	15.9969	15.3214	15.7784	15.2299	14.927	15.5735	15.6205	14.814	15.5833	15.5653	15.6743	14.7539	15.3151	16.6895	15.9164	16.1424	15.0023	15.3729	15.715	15.6745	15.2719	15.5957	15.6781	15.6904	15.5136	15.7645	15.436	15.5926	15.6197	15.4947	15.6743	15.4322
P21333	14.6835	14.8491	14.5117	15.1249	15.0655	14.7953	14.6439	13.8943	15.7127	14.4814	15.3255	15.7312	15.396	14.7999	14.2583	15.1626	15.1827	14.656	15.8637	14.7422	15.1976	14.6605	14.872	14.2788	14.2856	14.8537	14.3956	15.3196	14.1825	16.0201	14.668	14.5426	14.6274	15.7246	14.7562	14.6577	15.9579	15.1691	14.6779	15.1313	14.19	14.7932	14.4823	13.9862	14.5196	14.4489	15.2109	14.8071	14.4837	14.3996	15.1822	14.2099	14.9233	14.8297	15.8692	15.3808	15.2217	15.1117	14.7749	14.486	15.092	14.8888	14.4015	14.911	14.9431	15.1251	14.4007	15.1001	16.0909	15.4349	15.3071	15.1386	14.895	15.2878	14.938	14.8968	15.1208	15.2145	15.2604	15.0951	15.2638	15.0695	15.0107	15.0843	15.0245	15.2594	15.0864
Q15149	12.5221	12.3927	12.4312	11.8414	12.7194	11.686	12.6727	12.9064	12.926	12.5175	12.6537	12.662	12.2426	12.6001	12.5655	12.7412	12.9139	11.9403	12.4584	12.699	12.3059	12.8735	12.8717	12.712	11.929	12.5493	12.7108	12.5724	12.794	12.0404	13.2837	13.409	12.8874	12.4889	12.9972	12.7398	12.1434	12.1878	11.7956	11.9359	12.8293	12.44	12.2448	12.2783	13.0539	12.7822	12.4163	12.7862	12.4158	12.3273	13.5331	12.7058	12.7975	12.2661	11.2757	12.54	12.5947	12.2819	12.5099	12.9607	13.0462	12.3533	12.4683	12.7011	12.2092	13.2831	13.304	13.0697	11.7825	12.7256	11.8638	11.8603	12.54	12.4858	12.3023	13.3267	12.63	12.7475	12.3881	12.1825	12.4377	11.9057	12.5364	12.7943	12.9034	12.396	12.5596
Q09666	13.1231	13.5953	13.3336	12.5325	12.74	11.7823	12.89	13.2602	13.6435	12.9825	13.0942	13.2783	12.9933	13.1505	12.5828	13.3552	12.8495	12.1784	11.946	12.7322	12.4267	12.7999	12.7427	12.4196	12.5245	13.0095	13.0239	12.7164	12.8501	12.4065	13.3999	13.6787	13.0896	13.2035	13.285	12.7991	11.3366	12.1606	11.4401	11.3054	13.1948	13.0265	12.3461	12.8661	13.4892	13.2862	13.8276	13.9709	13.3095	13.154	14.2743	13.5737	13.6657	12.28	11.1241	12.9069	13.0459	12.3631	12.6421	12.9971	13.3887	12.9247	12.8466	13.3964	12.9555	13.1848	13.2477	13.6975	12.2714	12.9899	12.0563	11.7836	13.1703	13.1176	12.9506	13.6962	13.075	13.0747	12.847	12.2571	12.4044	12.044	12.7442	13.2202	13.1197	13.1124	13.0759
P18206	13.8372	14.1823	13.8932	14.1615	13.7669	14.2824	14.203	13.575	14.7203	13.1101	14.7186	14.8474	14.5847	13.7962	14.0343	14.2137	13.8579	13.8814	14.6527	13.8286	14.749	13.8084	13.8205	13.3834	13.4863	14	13.4534	14.4909	13.3247	15.3909	13.7364	13.7535	13.773	14.7981	12.9921	13.5392	14.8429	14.3459	13.5989	14.1035	13.5104	13.6482	13.4569	13.0591	13.4592	13.8457	13.93	13.8353	13.9988	14.1723	13.8862	13.7135	13.7032	14.1244	15.1531	14.3357	13.7033	13.7698	13.8921	13.5087	14.4575	13.9783	13.7898	14.1019	14.6427	14.4317	13.6191	14.0022	15.4701	14.4962	14.4665	13.8717	14.0188	14.2035	14.4763	14.1122	14.3126	14.0534	14.3767	14.3497	14.3701	14.1351	14.1484	14.1317	14.2009	14.3895	14.1903
P08670	13.9885	13.9186	14.7052	14.6808	14.7458	14.4677	14.2266	14.6017	13.3203	14.4752	13.0541	13.7561	13.5987	13.9645	14.3043	14.2358	13.6864	14.1997	13.2733	14.0428	13.7859	14.1397	13.674	14.3922	14.2409	14.1643	14.8343	13.6294	13.4991	13.0027	13.8025	13.9632	13.4375	13.9803	14.0013	14.1033	13.4025	13.7737	13.7635	12.7909	14.394	14.5096	14.1256	14.8078	14.3309	14.1512	14.4264	14.4622	14.2028	14.4373	13.8595	14.7395	14.0304	13.9447	12.7208	13.8848	14.0063	13.7941	13.8642	14.2163	13.9427	13.7558	14.5252	14.1186	14.1491	13.7628	14.3726	14.5881	12.2622	13.229	14.5372	13.9172	14.087	13.8315	14.2956	13.9524	14.4828	14.0209	14.4427	14.7848	14.4776	14.3551	14.1939	13.9182	13.8386	14.0804	13.995
P60709	14.6576	14.5096	14.7489	15.4252	15.0409	14.8306	14.9987	14.5217	14.6759	14.7407	14.9545	14.5145	14.7146	14.2965	14.4086	14.615	15.1185	14.8852	15.9926	14.4595	14.7829	14.1201	14.9228	14.4545	14.4577	14.6257	14.4324	14.4824	14.9623	14.7519	14.0013	14.0362	14.8926	14.8365	14.786	14.9573	14.9852	15.1305	14.118	14.5858	14.6893	14.6107	15.0975	15.2937	14.0139	14.9802	14.5958	14.3205	14.9294	14.8226	13.9115	14.9275	14.9114	14.6491	15.0239	15.2325	14.8768	15.6406	14.4415	14.1436	14.605	14.4999	14.4267	14.2405	14.3418	14.5525	14.7298	14.5421	15.3588	14.7628	15.5502	14.4157	14.7031	14.6835	14.7024	14.4891	14.9186	14.8587	14.9638	14.7355	15.0634	14.8143	14.8618	14.6119	14.9816	14.8859	14.6115
P12814	13.1089	13.1522	12.5475	13.2303	13.0115	13.6224	13.549	13.1299	13.3408	12.3941	14.09	13.8435	13.7232	12.7607	12.9813	13.4925	12.9551	12.793	14.1396	13.3482	13.8571	13.6719	12.6875	12.9821	13.2661	13.1197	12.8675	13.6597	12.3522	14.0013	13.0647	13.1862	12.6267	13.8518	12.3138	13.3475	14.0938	13.9729	12.843	13.5176	12.8218	13.0578	12.4389	12.6496	13.0796	12.8248	12.8457	12.8399	13.0355	12.8776	12.8482	12.8627	13.4932	12.8552	14.3079	13.7845	12.8604	13.2406	13.106	13.2121	12.9217	12.9164	13.4092	13.0328	13.1978	13.7658	13.3306	13.3402	14.5253	13.7934	13.3167	13.1408	13.3825	13.2006	13.0657	13.3805	13.3843	13.5776	13.9061	13.5644	13.6108	13.4609	13.5583	13.5925	13.15	13.5363	13.2628
P26038	14.1503	14.1206	14.6014	14.2144	14.5512	14.2388	14.3384	12.6975	13.6255	13.0293	13.137	14.1731	13.9097	13.7692	13.9519	14.0321	13.5998	13.8463	13.7976	14.0233	14.1266	14.059	14.0966	14.2394	14.0821	14.101	13.7971	14.1311	13.0521	13.97	13.7528	13.8543	13.5768	14.3308	13.686	13.958	14.0997	13.7311	13.4973	13.4629	14.1585	14.1143	13.3311	13.0921	14.3128	14.1073	14.6424	14.4332	14.1613	14.0297	14.5313	14.4475	14.2405	13.8187	13.9823	13.7769	13.7536	13.2328	14.0514	14.1566	14.372	13.8915	13.9455	14.1518	14.0322	13.8328	13.7216	14.6497	14.0682	13.8226	14.2383	13.9916	13.9336	13.9529	14.0242	13.7522	14.432	14.083	13.9832	14.3506	14.118	14.1413	14.0337	13.9413	14.155	14.1203	14.0667
