"Symbol"	"Control"	"Control.1"	"Control.2"	"Control.3"	"Control.4"	"Control.5"	"Control.6"	"Control.7"	"Control.8"	"Control.9"	"Control.10"	"D0_moderately"	"D0_moderately.1"	"D0_moderately.2"	"D0_moderately.3"	"D0_moderately.4"	"D0_moderately.5"	"D0_moderately.6"	"D0_moderately.7"	"D0_moderately.8"	"D0_moderately.9"	"D0_moderately.10"	"D0_moderately.11"	"D0_moderately.12"	"D0_moderately.13"	"D0_moderately.14"	"D0_moderately.15"	"D0_moderately.16"	"D0_Severe"	"D0_Severe.1"	"D0_Severe.2"	"D0_Severe.3"	"D0_Severe.4"	"D0_Severe.5"	"D0_Severe.6"	"D0_Severe.7"	"D0_Severe.8"	"D0_Severe.9"	"D0_Severe.10"	"D0_Severe.11"	"D30_moderately"	"D30_moderately.1"	"D30_moderately.2"	"D30_moderately.3"	"D30_moderately.4"	"D30_moderately.5"	"D30_moderately.6"	"D30_moderately.7"	"D30_Severe"	"D30_Severe.1"	"D30_Severe.2"	"D30_Severe.3"	"D30_Severe.4"	"D30_Severe.5"	"D30_Severe.6"	"D7_moderately"	"D7_moderately.1"	"D7_moderately.2"	"D7_moderately.3"	"D7_moderately.4"	"D7_moderately.5"	"D7_moderately.6"	"D7_moderately.7"	"D7_Severe"	"D7_Severe.1"	"D7_Severe.2"	"D7_Severe.3"	"D7_Severe.4"	"D7_Severe.5"	"D7_Severe.6"	"D7_Severe.7"	"D7_Severe.8"
"P35579"	15.04651928	15.57112567	15.18126578	15.65187732	15.6641253	15.26380893	15.36402651	15.04711758	16.08273532	15.00584712	15.97871841	16.36760146	15.64648318	15.92388015	15.35715109	15.80697417	15.24403848	15.17771702	16.18827405	15.59787069	16.11694642	15.46577826	15.37188181	14.92209556	15.2624173	15.59390258	15.44155548	15.67808435	14.84614465	16.52657654	15.59452655	15.46044324	14.97247147	16.09139275	14.68969083	15.29592872	16.15700293	15.41561839	15.28967826	15.85024441	14.61755253	15.37381998	14.52303681	14.44654716	15.61189438	14.9167954	15.71338133	15.17700287	15.13757202	15.08594973	16.08248706	14.97879229	15.6858573	15.16410644	16.14964196	15.77828912	15.12990741	15.21593342	15.53354491	15.22775375	15.88050541	15.42777781	15.20385144	16.10267429	15.92585003	15.76206793	15.4116011	15.84067573	16.29336517	16.25392246	15.91522243	15.34504893
"Q9Y490"	14.99356309	15.61846287	15.0847126	15.59439564	15.17553829	15.55378873	15.53695426	15.49558011	15.78634193	15.02577432	16.05169769	15.69315759	15.77869739	15.44799709	15.03857892	15.72575207	15.31762166	15.03933085	16.13116159	15.05913176	16.03705312	15.28225995	15.36457253	14.51119019	14.63255837	15.49694764	14.74754829	15.70741995	14.88236918	16.3233533	15.19529367	15.11081234	15.16887926	15.81253637	14.75002853	15.29529588	16.03211183	15.38685393	15.01918484	15.57910912	14.53997007	15.20248316	14.59328009	14.65484348	14.94881318	15.16493458	15.46959125	15.1200687	15.40722194	15.17438497	15.67628966	14.90531511	15.30484485	14.96284082	16.17563495	15.8575168	15.15766774	15.44971382	15.18464706	15.00321135	15.63381476	15.67541718	14.90669977	15.61824831	15.55979399	16.1814545	15.14053594	15.3698331	16.37294266	15.97561717	15.89307456	15.12783869
"P21333"	14.49548577	15.09716439	14.68932771	14.94653721	14.79339111	14.71024878	14.75536577	14.13632504	15.56767123	14.52869207	15.27506099	15.53145278	15.20030227	15.0409042	14.4969338	15.2102463	14.92639599	14.54449458	15.56417895	14.85877946	15.42097156	14.96817389	14.83219942	14.30705635	14.35025252	14.88213251	14.37453382	15.27156574	14.38211691	15.9550143	14.92747956	14.79186183	14.69926133	15.48123644	14.71370338	14.5983173	15.70143985	14.90049748	14.61410192	15.03674644	14.00408098	14.53975657	14.22018554	14.01849025	14.85160861	14.41214426	15.19127545	14.76244958	14.70768156	14.60967293	15.49437881	14.36362254	14.9321759	14.69529017	15.7156001	15.18490342	14.99402439	14.83953919	14.9065721	14.78007789	15.0233268	14.9129761	14.37933758	15.14035881	15.1139811	15.40560969	14.62218477	15.093328	15.79947176	15.47463915	15.1548133	15.05705014
"Q15149"	12.50849846	12.35412887	12.65497604	12.34705991	12.85397947	12.47502254	12.73101594	12.52864354	12.61446026	12.69389994	12.57908936	12.66426609	12.20776128	12.57383178	12.79883122	12.47590732	12.84448412	12.43283317	12.61365015	12.76165662	12.34260644	12.49845024	12.55739238	12.36791862	12.14730305	12.72026187	12.6611351	12.48697791	12.77600744	12.24332294	12.42258332	12.58987019	12.70630666	12.49368862	12.79035582	12.46701344	12.61930594	12.37089626	12.56777775	12.68857872	12.84537852	12.41704104	12.42102222	12.31244664	12.74873982	12.44912271	12.59826539	12.75312796	12.38135262	12.54864216	12.77165259	12.58700643	12.5518025	12.72580648	12.11345737	12.53132429	12.55601522	12.45377435	12.55996267	12.62097159	12.76411284	12.5393485	12.35554938	12.68347569	12.42692085	12.45538813	12.48329152	12.75679194	12.07001165	12.47486823	12.35671864	12.60954744
"Q09666"	12.93112063	13.23408884	13.32271801	13.24205488	13.31795365	13.0185949	13.10508961	13.07254073	13.45786115	12.88969838	12.93487351	13.1710003	12.84423247	12.78559953	12.50393041	12.93449745	12.88211914	12.88020311	12.52912623	13.03032419	12.62902934	12.59338459	12.60706974	12.31775891	12.43410429	12.88613627	12.84518356	12.5546075	12.45726559	12.31852735	12.59375291	12.86393499	12.67525456	12.7454205	12.86446019	12.377288	12.11867965	12.738894	12.63165109	12.52527831	12.99687313	12.99520258	12.9311035	13.03848724	13.35992807	13.14966917	13.68498488	13.7695021	12.91758668	13.12685708	13.45515366	13.14774296	13.24496864	13.00668596	12.47755133	12.71976498	13.08263553	12.94283142	12.85761452	12.8025149	13.20364103	12.81888416	12.68718242	13.07622615	12.95863613	12.3886771	12.44963281	13.091667	12.21314512	12.56830166	12.76929826	12.92587691
"P18206"	13.59441639	14.43560471	13.6544468	13.99970536	13.68965646	14.19796093	14.19225173	13.74111058	14.54582376	13.31832254	14.58108151	14.6628327	14.38450108	13.98767785	13.78264709	14.47539492	13.86211495	13.7286936	14.5608296	13.81734584	14.73889202	14.07393965	13.75904235	13.37496785	13.66807335	14.14231823	13.37375712	14.36496235	13.44308234	14.98175718	13.99806726	14.01935153	13.76756511	14.48446286	13.365151	13.86328581	14.66283899	14.25967177	13.64065612	14.05896488	13.27308347	13.72889299	13.377795	13.04744861	13.77471607	13.72653259	14.04309262	13.71851362	14.20608848	13.915656	14.16663159	13.74793661	14.01915166	13.9674027	14.941577	14.12748077	13.69468884	13.6910958	13.88106715	13.68274165	14.30491112	14.11351268	13.69005009	14.28770469	14.35983806	14.78484839	13.7734101	14.02449777	15.05106515	14.76340355	14.30677058	13.9217741
"P08670"	14.19582359	13.89083216	14.52325947	14.37160101	14.72714705	14.57575588	14.25693406	14.67544998	13.60270282	14.52313889	13.41403079	13.94014948	13.68807988	13.97836715	14.11197163	14.13728411	13.64999246	13.90359323	13.4459623	14.07646398	13.73318814	14.12229251	13.95710644	14.6762296	14.27870624	14.18298712	14.69886546	13.79634375	13.51500649	12.76903686	13.65581729	13.8487644	13.42749923	13.73872247	13.90186996	14.00348567	13.12097363	13.80011727	13.87820141	13.09934987	14.69157139	14.56030389	14.2379496	14.94765829	14.22584835	14.43434249	14.3983986	14.53286546	14.28296315	14.25882025	13.65725047	14.31648002	13.93211836	13.65368511	13.10973164	14.11806793	14.03347902	13.89585938	13.82205625	14.20899432	14.22609158	13.66082865	14.47909823	14.20480278	13.96213521	13.56501677	14.29718319	14.17892116	12.84532841	13.1332895	14.21377494	14.04410363
"P60709"	14.59727588	14.67225264	14.8776158	15.07147869	14.5937616	14.94572909	14.89762883	14.98091908	14.60969816	14.81293702	15.1894068	14.4573807	14.67280403	14.46255613	14.51228436	14.49837554	14.95830452	14.61960094	15.15934987	14.397286	14.68521271	14.53002638	14.87239223	14.38696508	14.50087109	14.71867306	14.59004301	14.65150138	15.05197711	14.90540924	14.46636177	14.49870493	14.73150925	14.6828563	14.70657964	14.92442463	14.70323915	14.60167476	14.27452437	14.70785086	14.64415514	14.39897799	14.57456985	15.14200551	14.3954699	14.93121743	14.67444564	14.44827525	15.03648456	14.96960362	14.3912783	14.77652119	14.83587194	14.47812659	15.12185147	15.22641584	14.68788999	14.94443508	14.38691556	14.54714288	14.54108374	14.54029743	14.57122167	14.4315648	14.41041549	14.98573428	15.15004492	14.44303699	15.1513234	14.64534843	15.15698906	14.55889088
"P12814"	12.76369551	13.60264116	12.81210173	13.25326205	12.85109597	13.44091222	13.41690721	12.82357713	13.55678277	12.5019217	13.84775297	13.61720499	13.47447945	13.16727542	13.22003059	13.49525396	12.88682292	12.91835397	13.8217984	13.14221076	13.77750879	13.55682573	12.80819285	13.14022174	13.42291495	13.26726332	12.72418723	13.45697656	12.71866114	14.16465886	13.19340263	13.35396165	12.83660937	13.68604614	12.48149431	13.37505827	13.9770207	13.6863323	12.84481583	13.3841369	12.50994735	12.997136	12.29476202	12.40986479	12.95182665	13.03443196	13.01150958	12.65645518	13.46526522	13.12557143	12.91414006	12.99372166	13.49812314	12.97183003	14.01169192	13.5847005	12.7933406	13.02929895	12.88981074	12.98592784	13.09770185	13.06382637	13.21017882	13.43503642	13.44450441	14.02909523	13.45399001	13.4179253	14.23962763	13.7987965	13.40307217	13.13953282
"P26038"	14.25553963	14.2101446	14.50341014	14.06923884	14.47375574	14.31619532	14.30696566	13.16409257	13.49362874	13.22415071	13.26300417	14.24144967	13.86329939	13.84838567	13.79273971	13.96857733	13.71867163	13.72753697	13.98010196	14.08058306	14.16219592	14.16836378	14.01926527	14.18348261	14.10785691	14.12337619	13.89903326	14.21848501	13.12271127	13.83955694	13.75537341	13.86971339	13.28828098	13.96896877	13.61994004	13.97012317	13.94815022	13.83185981	13.4800746	13.43931361	14.18077122	14.34273215	13.68195379	13.36402265	14.37583577	14.01789637	14.58424152	14.51139737	14.24772656	13.87106139	14.58066444	14.11405218	14.21637231	13.70542912	13.97919875	13.68800416	13.92140036	13.57516328	14.09538197	14.22811767	14.34125782	13.94504402	14.03943366	14.24109141	13.88478624	13.81105832	13.68579126	14.28332912	13.75836897	13.71756038	14.09416661	14.0154417
