Name	Target
Control	HV
Control.1	HV
Control.2	HV
Control.3	HV
Control.4	HV
Control.5	HV
Control.6	HV
Control.7	HV
Control.8	HV
Control.9	HV
Control.10	HV
D0_moderately	D0
D0_moderately.1	D0
D0_moderately.2	D0
D0_moderately.3	D0
D0_moderately.4	D0
D0_moderately.5	D0
D0_moderately.6	D0
D0_moderately.7	D0
D0_moderately.8	D0
D0_moderately.9	D0
D0_moderately.10	D0
D0_moderately.11	D0
D0_moderately.12	D0
D0_moderately.13	D0
D0_moderately.14	D0
D0_moderately.15	D0
D0_moderately.16	D0
D0_Severe	D0
D0_Severe.1	D0
D0_Severe.2	D0
D0_Severe.3	D0
D0_Severe.4	D0
D0_Severe.5	D0
D0_Severe.6	D0
D0_Severe.7	D0
D0_Severe.8	D0
D0_Severe.9	D0
D0_Severe.10	D0
D0_Severe.11	D0
D30_moderately	D30
D30_moderately.1	D30
D30_moderately.2	D30
D30_moderately.3	D30
D30_moderately.4	D30
D30_moderately.5	D30
D30_moderately.6	D30
D30_moderately.7	D30
D30_Severe	D30
D30_Severe.1	D30
D30_Severe.2	D30
D30_Severe.3	D30
D30_Severe.4	D30
D30_Severe.5	D30
D30_Severe.6	D30
D7_moderately	D7
D7_moderately.1	D7
D7_moderately.2	D7
D7_moderately.3	D7
D7_moderately.4	D7
D7_moderately.5	D7
D7_moderately.6	D7
D7_moderately.7	D7
D7_Severe	D7
D7_Severe.1	D7
D7_Severe.2	D7
D7_Severe.3	D7
D7_Severe.4	D7
D7_Severe.5	D7
D7_Severe.6	D7
D7_Severe.7	D7
D7_Severe.8	D7
